"COMID","totco2g_day","CAT_ELEV_MIN","CAT_ELEV_MAX","CAT_STREAM_SLOPE","TOT_BASIN_AREA","TOT_BASIN_SLOPE","TOT_ELEV_MEAN","TOT_ELEV_MIN","TOT_ELEV_MAX","TOT_STREAM_SLOPE","sinuosity","CAT_NID_STORAGE2010","CAT_EVI_JAS_2012","TOT_EVI_JAS_2012","CAT_CONTACT","TOT_CONTACT","CAT_PET","TOT_PET","CAT_AET","TOT_AET","CAT_OM","CAT_PERMAVE","TOT_OM","TOT_PERMAVE","CAT_SILTAVE","CAT_CLAYAVE","CAT_SANDAVE","TOT_SILTAVE","TOT_CLAYAVE","TOT_SANDAVE","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub","CAT_PPT7100_ANN","TOT_PPT7100_ANN","CAT_RUN7100","TOT_RUN7100","CAT_TWI","TOT_TWI","CAT_BFI","TOT_BFI"
"23751834",NA,189.6,221.64,0,2601.07,32.2,1140.56,189.6,2655.83,0.048156,1,0,0.46,0.38,1384.65,43.8,652.87,548.46,590.18,583.6,1.34,4.21,2.86,2.36,46.33,19.4,34.28,46.47,22.55,30.99,3.84,46.16,0,19.23,0,0.84,80.74,0.15,0.31,12.66,1195.81,1587.1,1084,1084.5,14.03,9.81,42.35,69.8
"23751836",12658315.0931507,189.6,211.56,0,2598.45,32.22,1141.47,189.6,2655.83,0.048207,1.1,0,0.4,0.38,1538,42.71,651.95,548.35,614.53,583.54,1.28,4.65,2.86,2.36,46.41,16.76,36.84,46.47,22.53,31,18.66,16.33,2.94,55.08,0.81,0.84,80.77,0.14,0.3,12.67,1194.41,1587.5,1084,1084.5,15.84,9.81,42.02,69.82
"23751838",10232693.0112329,192.24,195.36,0,2596.92,32.24,1142.02,192.24,2655.83,0.048255,1.02,0,0.44,0.38,1538,41.8,651.93,548.29,596.62,583.52,1.27,4.67,2.86,2.36,46.42,16.5,37.08,46.47,22.53,31,0,36.27,21.57,31.37,0,0.83,80.81,0.14,0.25,12.67,1194.25,1587.73,1084,1084.5,14.42,9.81,42.98,69.84
"23751840",9837600.59753425,194.3,318.51,0,2596.83,32.24,1142.05,194.3,2655.83,0.04827,1.01,0,0.29,0.38,1521.24,41.74,649.99,548.29,627.88,583.52,1.68,1.9,2.86,2.36,45.88,33.8,20.32,46.47,22.53,31,12.94,27.45,0,16.96,4.91,0.83,80.81,0.14,0.25,12.67,1195.13,1587.74,1084,1084.5,11.15,9.81,44,69.84
"23751842",NA,196.58,199.93,0,2596.43,32.24,1142.2,196,2655.83,0.048292,1,0,0.21,0.38,1538,41.5,650,548.27,626.2,583.52,1.86,0.66,2.86,2.36,45.64,41.58,12.78,46.47,22.53,31,66.66,0,0,0,0,0.83,80.82,0.14,0.25,12.67,1195.51,1587.8,1084,1084.5,11.15,9.81,44,69.84
"23751844",38302330.2246575,196,651.77,0.01,2596.43,32.24,1142.2,196,2655.83,0.048293,1.05,29900,0.29,0.38,935.87,41.5,648.04,548.27,674.36,583.52,1.93,0.65,2.86,2.36,45.21,41.81,13.01,46.47,22.53,31,12,21.94,0,8.47,8.25,0.83,80.82,0.14,0.25,12.67,1203.11,1587.8,1084,1084.5,11.86,9.81,44.9,69.84
"23751846",NA,213.34,698.73,0,2581.81,32.34,1146.79,213.1,2655.83,0.048389,1.04,0,0.36,0.38,716.91,37.18,644.53,547.72,763.73,582.94,2.05,0.63,2.86,2.37,44.35,42.25,13.47,46.48,22.43,31.08,4.45,43.66,0.14,6.23,15.51,0.78,81.08,0.14,0.22,12.68,1210.81,1589.9,1084,1084.5,9.69,9.8,45.51,69.98
"23751848",3233979.3090411,213.1,500.05,0.1,2577.3,32.35,1148.21,213.1,2655.83,0.048438,1,0,0.41,0.38,787,35.95,644,547.55,769.27,582.62,1.86,0.66,2.86,2.37,45.64,41.58,12.78,46.49,22.4,31.11,0,10.78,0,0,32.78,0.78,81.16,0.14,0.21,12.68,1222.08,1590.56,1084,1084.51,8.43,9.8,47,70.03
"23751850",NA,213.1,500.05,0,2577.08,32.35,1148.28,213.1,2655.83,0.048386,1,0,0.41,0.38,787,35.88,644,547.54,769.27,582.6,1.86,0.66,2.86,2.37,45.64,41.58,12.78,46.49,22.4,31.11,0,10.78,0,0,32.78,0.78,81.16,0.14,0.21,12.68,1222.08,1590.59,1084,1084.51,8.43,9.8,47,70.03
"23751852",36253877.4410959,237.86,733.03,0.02,2577.08,32.35,1148.28,237.86,2655.83,0.048387,1.03,477700,0.28,0.38,602.31,35.88,642.73,547.54,769.18,582.6,2.14,0.61,2.86,2.37,43.64,42.55,13.78,46.49,22.4,31.11,2.13,38.16,1.42,0.4,24.87,0.78,81.16,0.14,0.21,12.68,1230.7,1590.59,1084,1084.51,8.29,9.8,46.76,70.03
"23751854",NA,284.14,630.74,0,2558.51,32.42,1153.2,279.51,2655.83,0.048496,1.04,0,0.26,0.38,269,33.23,640.1,546.87,817.99,581.41,2.23,0.6,2.87,2.38,43.04,42.86,14.11,46.52,22.27,31.22,2,49.46,2.1,0.01,9.93,0.77,81.37,0.13,0.21,12.58,1243.08,1592.84,1084,1084.51,10.83,9.81,47.38,70.2
