"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"2388",23764107,1.81,30.11,1.14,36.87,15.32,1.81,30.11,1.14,36.87,15.32
"2389",23764109,0.47,94.87,0,0,4.66,0.47,94.87,0,0,4.66
"2390",23764111,6.96,52.29,0.33,0,40.43,6.96,52.29,0.33,0,40.43
"2391",23764113,9.18,78.47,2.94,0,9.41,6.88,53.11,0.89,0,33.76
"2392",23764115,6.55,66.16,0,0,27.29,4.15,77.52,0,0,18.34
"2393",23764117,10.73,76.27,2.82,0,10.17,5.75,58.91,0.85,0,34.32
"2394",23764119,5.41,37.84,2.7,0,43.24,4.35,64.71,0.79,0,21.26
"2395",23764121,6.31,47.17,0.54,0,37.92,6.31,47.17,0.54,0,37.92
"2396",23764123,3.77,34.72,3.65,39.02,5.63,3.77,34.72,3.65,39.02,5.63
"2397",23764125,2.95,44.65,0,0,46.49,5.09,59.95,0.72,0,29.99
"2398",23764127,4.46,56.94,1.27,0,22.68,4.46,56.94,1.27,0,22.68
"2399",23764129,6.64,57.68,0,0,22.42,6.64,57.68,0,0,22.42
"2400",23764131,9.49,68.47,0.18,0,11.92,9.49,68.47,0.18,0,11.92
"2401",23764133,6.03,75.55,0.81,0,16.34,6.03,75.55,0.81,0,16.34
"2402",23764135,4.61,67.46,0,0,26.45,4.61,67.46,0,0,26.45
"2403",23764137,4.83,63.64,0,0,31.4,7.86,63.21,0.09,0,18.09
"2404",23764139,0,10.12,1.87,56.03,26.02,0,10.12,1.87,56.03,26.02
"2405",23764141,9.68,1.03,0,0,78.97,9.68,1.03,0,0,78.97
"2406",23764143,4.05,9.65,9.6,72.39,2.9,4.05,9.65,9.6,72.39,2.9
"2407",23764145,4.07,34.37,1.29,7.36,46.71,4.07,34.37,1.29,7.36,46.71
"2408",23764147,8.37,24.77,0,0,41.06,8.37,24.77,0,0,41.06
"2409",23764149,3.53,32.8,0.28,0,42.89,3.53,32.8,0.28,0,42.89
"2410",23764151,2.75,88.07,3.21,0,0.46,3.5,35.09,0.4,0,41.13
"2411",23764153,5.81,59.69,1.29,0,28.68,3.83,36.38,0.41,0,41
"2412",23764155,0,83.91,3.45,0,12.64,3.74,38.89,0.56,0,39.15
"2413",23764157,5.97,58.09,1.24,0,26.03,7.36,63.02,0.21,0,19.73
"2414",23764159,8.8,69.3,0,0,21.84,9.08,47.67,0,0,39.94
"2415",23764161,10.45,53.26,0,0,19.09,10.45,53.26,0,0,19.09
"2416",23764163,8.61,37.25,2.53,0.36,48.93,6.43,41.17,1.17,0.11,45.25
"2417",23764165,6.48,69.99,2.78,0,20.36,6.32,72,2.06,0,18.9
"2418",23764167,0,31.96,0,43.72,17.19,0,31.96,0,43.72,17.19
"2419",23764169,2.01,23.54,0.33,40.49,14.95,2.01,23.54,0.33,40.49,14.95
"2420",23764171,2.65,78.08,6.99,0,7.37,5.9,47.63,1.02,0.07,37.09
"2421",23764173,7.79,68.05,10.39,0,11.17,5.17,57.04,0.44,0,24.71
"2422",23764175,5.01,36.94,9.4,0,34.82,5.01,36.94,9.4,0,34.82
"2423",23764177,9.88,20.93,11.11,0,54.79,9.88,20.93,11.11,0,54.79
"2424",23764179,5.21,54.44,0,0,16.85,4.87,51.39,0,0,18.41
"2425",23764181,0,16.42,11.62,0,63.38,6.7,29.57,10.19,0,44.15
"2426",23764183,6.12,18.92,0.41,0,62.83,6.12,18.92,0.41,0,62.83
"2427",23764185,5.07,29.07,0,0,46.86,5.07,29.07,0,0,46.86
"2428",23764187,6.94,64.95,0,0,18.96,7.2,57.49,0,0,23.06
"2429",23764189,6.21,0,1.85,91.93,0,2.33,20.92,0.56,52.21,12.42
"2430",23764191,6.47,0.16,0.25,92.74,0,6.47,0.16,0.25,92.74,0
"2431",23764193,2.11,26.59,0,0,31.12,2.11,26.59,0,0,31.12
"2432",23764195,3.6,61.91,0.51,0,29.36,3.6,61.91,0.51,0,29.36
"2433",23764197,3.19,22.37,2.05,0,65.53,3.19,22.37,2.05,0,65.53
"2434",23764199,0,49.08,0,0,47.22,0,49.08,0,0,47.22
"2435",23764201,6,50.07,2.59,1.92,34.77,6,50.07,2.59,1.92,34.77
"2436",23764203,7.41,35.13,0,0,46.22,5.15,59.26,0,0,28.92
"2437",23764205,11.44,0,2.67,85.89,0,11.44,0,2.67,85.89,0
"2438",23764207,8.3,34.45,0.3,0,55.64,5.8,42.33,0.65,0,47.83
"2439",23764209,5.53,49.67,4.16,0,23,6.19,55.12,0.81,0,25.14
"2440",23764211,5.94,1.32,0,92.74,0,5.94,1.32,0,92.74,0
"2441",23764213,1.39,6.6,0.36,53.93,8.7,1.39,6.6,0.36,53.93,8.7
"2442",23764215,3.76,0.24,0,74.07,5.33,3.76,0.24,0,74.07,5.33
"2443",23764217,7.72,54.54,0.05,0,36.89,6.71,44.88,0.03,0,40.67
"2444",23764219,1.8,0,0,98.21,0,5.81,45.66,2.29,10,29.2
"2445",23764221,6.05,25.33,0,0,55.91,6.05,25.33,0,0,55.91
"2446",23764223,12.55,0,0.93,86.52,0,3.45,3.77,0.31,64.27,6.59
"2447",23764225,13.15,17.74,0,0,69.11,13.15,17.74,0,0,69.11
"2448",23764227,3.6,27.48,11.26,0,53.15,6.13,53.59,0.88,0,27.68
"2449",23764229,3.85,55.26,0.85,0,24.8,6.51,52.83,0.46,0,27.76
"2450",23764231,4.06,15.79,4.25,65.48,2.43,5.8,45.5,2.3,10.29,29.06
"2451",23764233,4.41,84.27,0,0,10.18,4.32,86.26,0,0,8.53
"2452",23764235,3.47,3.26,1.53,91.04,0.7,3.47,3.26,1.53,91.04,0.7
"2453",23764237,3.43,50.8,0,0,36.53,3.43,50.8,0,0,36.53
"2454",23764239,5.09,1.43,3.58,89.49,0.41,8.45,0.69,2.49,88.25,0.13
"2455",23764241,3.99,93.21,0,0,2.79,3.99,93.21,0,0,2.79
"2456",23764243,0.23,61.06,0,0,38.59,4.36,35.72,0,0,50.87
"2457",23764245,1.98,0.45,2.36,95.22,0,3.34,6.8,1.21,81.02,3.9
"2458",23764247,2.51,81.55,0.56,0,7.3,2.29,78.71,0.51,0,10.79
"2459",23764249,2.8,69.04,0.25,0,2.49,2.8,69.04,0.25,0,2.49
"2460",23764251,6.12,51.09,0,0,42.79,8.11,41.62,0,0,50.26
"2461",23764253,7.14,0,0.53,90.52,0.4,7.14,0,0.53,90.52,0.4
"2462",23764255,0.72,82.69,0,0,16.36,0.72,82.69,0,0,16.36
"2463",23764257,5.9,40.12,1.4,6.8,37.46,5.9,40.12,1.4,6.8,37.46
"2464",23764259,5.74,1.06,0.45,92.76,0,6.21,0.4,0.43,90.82,0.19
"2465",23764261,1.57,0,5.5,92.93,0,6.47,1.19,2.63,89.45,0.25
"2466",23764263,4.23,0,0,86.56,0,6.48,0,0.41,89.62,0.31
"2467",23764265,2.36,12.87,2.44,74.68,7.19,2.36,12.87,2.44,74.68,7.19
"2468",23764267,0.46,89.52,0,0,10.02,0.46,89.52,0,0,10.02
"2469",23764269,4.29,70.95,0.08,0,24.26,4.29,70.95,0.08,0,24.26
"2470",23764273,5.98,77.15,0.36,2.15,13.28,2.96,63.65,0.08,0.5,27.09
"2471",23764275,4.26,51.51,0.79,0,36.79,4.26,51.51,0.79,0,36.79
"2472",23764277,7.45,43.28,3.87,0,38.07,4.29,63.93,1.7,0,19.35
"2473",23764279,6.04,64.16,0,0.24,26.3,6.04,64.16,0,0.24,26.3
"2474",23764281,6.04,4.01,5.93,84.03,0,6.34,1.31,2.42,89.19,0.2
"2475",23764283,0.33,47.07,0,0,42.54,0.33,47.07,0,0,42.54
"2476",23764285,6.17,53.95,4.47,19.18,13.88,6.22,53.51,1.45,3.56,25.13
"2477",23764287,14.19,20.35,7.03,57.76,0.67,14.19,20.35,7.03,57.76,0.67
"2478",23764289,2.19,33.98,1.05,49.87,10.48,2.19,33.98,1.05,49.87,10.48
"2479",23764291,6.53,64.95,0.36,0.48,8.28,6.53,64.95,0.36,0.48,8.28
"2480",23764293,3.39,33.36,0.27,4.82,52,3.39,33.36,0.27,4.82,52
"2481",23764295,2.58,8.84,0.04,80.13,8.42,2.58,8.84,0.04,80.13,8.42
"2482",23764297,4.1,12.25,0.33,66.87,8.35,4.1,12.25,0.33,66.87,8.35
"2483",23764299,2.04,59.54,0,0,31.3,2.04,59.54,0,0,31.3
"2484",23764301,0,0,1.12,98.88,0,3.29,10.31,0.23,73.87,8.09
"2485",23764303,3.69,0,5.34,89.47,1.51,3.69,0,5.34,89.47,1.51
"2486",23764305,3.66,7.55,5.2,76.08,6.46,8.09,19.73,2.67,35.16,16.16
"2487",23764307,1.63,48.37,1.09,47.83,1.09,1.63,48.37,1.09,47.83,1.09
"2488",23764309,4.91,53.92,0,0,23.35,4.91,53.92,0,0,23.35
"2489",23764311,6.45,0.58,0,92.86,0.12,3.74,8.91,0.2,76.61,6.94
"2490",23764313,0,0,19.52,80.48,0,7.9,19.28,3.06,36.19,15.79
"2491",23764315,4.07,52.26,0,3.73,38.75,4.07,52.26,0,3.73,38.75
"2492",23764317,2.24,23.11,0,74.36,0.29,5.25,15.16,1.34,59.68,9.65
"2493",23764319,5.65,83.26,0,0,9.6,5.65,83.26,0,0,9.6
"2494",23764321,2.62,3.61,0.32,90.85,1.05,2.62,3.61,0.32,90.85,1.05
"2495",23764323,7.47,72.59,1.68,0.99,14.5,6.35,64.41,0.94,0.56,18.38
"2496",23764325,3.34,7.08,0,89.59,0,3.34,7.08,0,89.59,0
"2497",23764327,5.22,51.22,2.37,0.07,35.8,5.22,51.22,2.37,0.07,35.8
"2498",23764329,12.5,0,0,87.5,0,5.58,25.66,0.08,56.89,9.27
"2499",23764331,0,0,18.18,0,0,10.5,3.4,3.81,80.33,1.6
"2500",23764339,5.25,53.32,3.32,0,36.99,5.25,53.32,3.32,0,36.99
"2501",23764341,5.37,78.26,0.24,0.16,10.5,5.84,70.96,0.04,0.17,19.85
"2502",23764343,7.33,54.72,0.54,4.97,31.61,7.33,54.72,0.54,4.97,31.61
"2503",23764345,5.26,1.51,10.36,77.6,5.13,10.5,3.4,3.81,80.34,1.6
"2504",23764347,9.94,43.52,0.96,0.55,28.44,9.94,43.52,0.96,0.55,28.44
"2505",23764349,3.63,32.76,0.13,46.47,13.2,3.63,32.76,0.13,46.47,13.2
